Enviado,Fecha,Tarea,Ruta,Prog. Inicial,Prog. Final,Maquinaria 1,ID1,N°ID1,Maquinaria 2,ID2,N°ID2,Maquinaria 3,ID3,N°ID3,Maquinaria 4,ID4,N°ID4,Maquinaria 5,ID5,N°ID5,Observaciones,Imágenes previas,Imágenes posteriores,km,Combustible (l),Mezcla asfáltica (tn)
si,27/3/2025,MANTENIMIENTO DE PAVIMENTOS,093-02,"0,00","5,00",MINI CARGADORA,O.I.,21202,CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,,,,,,,"Bacheo en acceso pavimentado a Cazón (Saladillo) desde RN205 hasta zona urbana de la localidad. No se registran imágenes.",,,"5,00",,
si,1/4/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"214,00","225,00",MINI CARGADORA,O.I.,21202,CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,,,,,,,Bacheo de tramo desde inicio de zona hacia sector de Lag. de Todos Los Santos. Se incluyen equipos de señalización y carretón (O.I.: 22121) para traslado de equipos.,,,"11,00",,
si,3/4/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"250,00","277,00",MINI CARGADORA,O.I.,21202,CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,,,,,,,"Bacheo en tramos de RP51 desde 25 de Mayo hacia Saladillo. Se incluyen equipos de señalización (O.I.: 22121) y carretón para traslado de equipos.
",,,"27,00",,
si,4/4/2025,CAMINOS RURALES,,,,MOTONIVELADORA,R.O.,22108,CAMIONETA,R.O.,,,,,,,,,,,?? no se cargó. Mantenimiento de caminos rurales. Ejecución de tareas incluyendo entrenamiento del personal (F. ALzugaray),,,"0,00",,
si,4/4/2025,CORTE DE PASTO,,,,,,,,,,,,,,,,,,,?? no se cargó,,,"0,00",,
si,7/4/2025,CORTE DE PASTO,RP91,"8,50","9,80",TRACTOR,R.O.,21503,DESMALEZADORA,O.I.,21502,,,,,,,,,,"?? no se cargó. Corte de paso en zona de Rotonda ""La Campana""",,,"1,30",,
si,8/4/2025,CAMINOS RURALES,,,,MOTONIVELADORA,R.O.,22108,CAMIONETA,R.O.,,,,,,,,,,,?? no se cargó. Mantenimiento de caminos rurales. Ejecución de tareas incluyendo entrenamiento del personal (F. ALzugaray),,,"0,00",,
si,8/4/2025,MANTENIMIENTO DE PAVIMENTOS,RP30,"263,00","290,00",MINI CARGADORA,O.I.,21202,CAMIÓN,R.O.,41020,CAMIONETA,R.O.,36895,,,,,,,"Continuación de obras de bacheo en varios puntos del pavimento en el tramo de Las Flores al límite de Zona VI (ca. de ""El Gualicho"")",,,"27,00",,
si,8/4/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"279,00","279,50",CAMIÓN,R.O.,40990,CAMIONETA,R.O.,44808,,,,,,,,,,"Obras de bacheo en vías del FFCC en RP51 y acceso a ""La Barrancosa"" (Saladillo).",,,"0,50",,
si,8/4/2025,SEÑALIZACIÓN Y DEMARCACIÓN (Horizontal y Vertical),RP30,"250,00","282,00",CAMIONETA,R.O.,26395,,,,,,,,,,,,,"Colocación de señalización de curvas en tramo desde Las Flores a límite de zona (""El Gualicho"").",,,"32,00",,
si,9/4/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"225,00","226,00",CAMIONETA,R.O.,44808,CAMIÓN,R.O.,41020,,,,,,,,,,Bacheo en sector de alcantarilla reparada en Lag de Todos Los Santos. Se movilizan otros equipos como señalizadores lumínicos.,,,"1,00",,
si,9/4/2025,CAMINOS RURALES,093-08,"0,00","2,00",MOTONIVELADORA,R.O.,22108,CAMIONETA,R.O.,36895,,,,,,,,,,Mantenimiento de caminos rurales. Ejecución de tareas incluyendo entrenamiento del personal. Se realizan series de pasadas a lo largo de la traza indicada.,,,"2,00",,
si,9/4/2025,CORTE DE PASTO,RP91,"9,00","29,00",TRACTOR,O.I.,21806,DESMALEZADORA,O.I.,21803,,,,,,,,,,Tramo RP91 de La Campana (Saladillo) al Trigo (Las Flores).,,,"20,00",,
si,11/4/2025,MANTENIMIENTO DE PAVIMENTOS,093-03,"0,00","8,00",CAMIÓN,R.O.,41020,MINI CARGADORA,O.I.,21202,CAMIONETA,R.O.,44808,,,,,,,"Bacheo en sectores del tramo del acceso a Del Carril, desde RN205 a zona urbana. Se incluyen otros equipamientos como señalizadores lumínicos, carretón (OI: 22121).",,,"8,00",,
si,11/4/2025,CORTE DE PASTO,RP91,"20,00","40,00",TRACTOR,O.I.,21806,DESMALEZADORA,O.I.,21803,,,,,,,,,,"Continuación de corte de pasto en banquinas, RP91 de Saladillo a Las Flores.",,,"20,00",,
si,11/4/2025,SEÑALIZACIÓN Y DEMARCACIÓN (Horizontal y Vertical),RP51,"256,00","256,00",CAMIONETA,R.O.,26395,,,,,,,,,,,,,"Colocación de ""chevrones"" en sector de Puente Ayo. Saladillo (en límite de Pdos. Saladillo-25 de Mayo)",,,"0,00",,
si,14/4/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"327,00","335,00",MINI CARGADORA,O.I.,21202,CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,CAMIONETA,R.O.,52501,,,,Tareas de bacheo en varios sectores de la traza y en banquinas a lo largo de los kilómetros indicados. Se incluyen equipos de señalización lumínica y carretón (O.I.: 22121) para traslado de equipos pesados.,,,"8,00",,
si,14/4/2025,CAMINOS RURALES,093-08,"2,00","4,00",MOTONIVELADORA,O.I.,8653,CAMIONETA,R.O.,52501,,,,,,,,,,Se llevan a cabo series de pasadas a lo largo de la traza indicada.,,,"2,00",,
si,14/4/2025,CAMINOS RURALES,,,,MOTONIVELADORA,O.I.,22108,CAMIÓN,R.O.,40990,,,,,,,,,,Traslado en carretón (O.I: 22121) de motoniveladora desde Saladillo hasta Villa Moll (Navarro).,,,"0,00",,
si,14/4/2025,CORTE DE PASTO,RP51,"256,00","277,00",TRACTOR,O.I.,21806,DESMALEZADORA,O.I.,21803,,,,,,,,,,"Corte de pasto en banquinas. Tramo desde Saladillo a 25 de Mayo.",,,"21,00",,
si,21/4/2025,CAMINOS RURALES,093-08,"4,00","6,00",MOTONIVELADORA,O.I.,8653,CAMIONETA,R.O.,36895,,,,,,,,,,"Mantenimiento de caminos rurales. Serie de pasadas a lo pargo de la traza indicada.",,,"2,00",,
si,22/4/2025,CAMINOS RURALES,093-08,"6,00","8,00",MOTONIVELADORA,O.I.,8653,CAMIONETA,R.O.,51426,,,,,,,,,,Continuación de tareas de mantenimiento de caminos rurales. Serie de pasadas a lo pargo de la traza indicada.,,,"2,00",,
si,22/4/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"340,00","350,00",MINI CARGADORA,R.O.,21202,CAMIÓN,R.O.,18785,CAMIONETA,R.O.,29792,,,,,,,Bacheo en varios sectores a lo largo de la traza indicada. Se incluyen señalizadores lumínicos y carretón para traslado de equipos pesados (O.I.: 22121).,,,"10,00",,
si,23/4/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"335,00","341,00",MINI CARGADORA,R.O.,21202,CAMIÓN,R.O.,18785,CAMIONETA,R.O.,29792,CAMIÓN,R.O.,41020,,,,Bacheo en varios sectores a lo largo de la traza indicada. Se incluyen señalizadores lumínicos y carretón para traslado de equipos pesados (O.I.: 22121).,,,"6,00",,
si,23/4/2025,CAMINOS RURALES,093-08,"8,00","10,00",MOTONIVELADORA,O.I.,8653,CAMIONETA,R.O.,44808,,,,,,,,,,"Mantenimiento de caminos rurales. Se llevan a cabo series de pasadas a lo largo de la traza indicada.",,,"2,00",,
si,24/4/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"320,00","328,00",CAMIÓN,R.O.,18785,CAMIONETA,R.O.,31556,,,,,,,,,,"Trabajos de bacheo en sectores de ambas calzadas del tramo indicado.",,,"8,00",,
si,24/4/2025,CAMINOS RURALES,093-08,"10,00","12,00",MOTONIVELADORA,O.I.,8653,CAMIONETA,R.O.,37073,,,,,,,,,,Mantenimiento de caminos rurales. Se llevan a cabo series de pasadas a lo largo de la traza indicada.,,,"2,00",,
si,24/4/2025,SEÑALIZACIÓN Y DEMARCACIÓN (Horizontal y Vertical),RP51,"305,00","305,05",CAMIONETA,R.O.,26395,,,,,,,,,,,,,"Colocación de señalizaciones en curvas del tramo.",,,"0,05",,
si,25/4/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"325,00","335,00",MINI CARGADORA,R.O.,21202,CAMIÓN,R.O.,40990,CAMIONETA,R.O.,29792,,,,,,,"Trabajos de bacheo en sectores de ambas calzadas del tramo indicado. Utilización de carretón para acarreos (O.I.: 22121) y señalización lumínica.",,,"10,00",,
si,28/4/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"330,00","340,00",CAMIÓN,R.O.,40990,CAMIONETA,R.O.,36895,MINI CARGADORA,R.O.,21202,,,,,,,"Continuación de trabajos de bacheo en sectores de ambas calzadas del tramo indicado. Utilización de carretón para acarreos (O.I.: 22121) y señalización lumínica.",,,"10,00",,
si,28/4/2025,SEÑALIZACIÓN Y DEMARCACIÓN (Horizontal y Vertical),RP51,"245,00","250,00",CAMIONETA,R.O.,26395,,,,,,,,,,,,,no se cargaron vehículos!!! Colocación de cartelería de cruces de caminos.,,,"5,00",,
si,29/4/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"225,00","225,50",CAMIONETA,R.O.,44808,MINI CARGADORA,R.O.,21202,CAMIÓN,R.O.,41020,,,,,,,"Fresado y reparación de bacheos en sector de alcantarilla ""Lag. de Todos Los Santos""",,,"0,50",,
si,29/4/2025,MANTENIMIENTO DE PAVIMENTOS,093-02,"0,00","5,00",CAMIÓN,R.O.,18785,CAMIONETA,R.O.,31556,,,,,,,,,,"Mantenimiento y reparación de baches en colaboración con el Municipio de Saladillo a lo largo de la traza del acceso a la localidad de Cazón.",,,"5,00",,
si,3/5/2025,CORTE DE PASTO,RP91,"0,00","25,00",TRACTOR,O.I.,21806,DESMALEZADORA,O.I.,21803,CAMIONETA,R.O.,31556,,,,,,,No se registraron fotografías al momento de realizadas las tareas.,,,"25,00",,
si,9/5/2025,CORTE DE PASTO,RP51,"256,00","277,00",TRACTOR,O.I.,9649,DESMALEZADORA,O.I.,21806,CAMIONETA,R.O.,29792,,,,,,,,,,"21,00",,
si,9/5/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"346,00","350,00",MINI CARGADORA,R.O.,21202,CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,,,,,,,"Reparación de baches en sectores del tramo indicado.",,,"4,00",,
si,9/5/2025,CAMINOS RURALES,093-08,"12,00","14,00",MOTONIVELADORA,O.I.,8653,CAMIONETA,R.O.,44808,,,,,,,,,,"Mantenimiento de caminos rurales.",,,"2,00",,
si,12/5/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"330,00","345,00",MINI CARGADORA,R.O.,21202,CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,,,,,,,"Se incluyen equipos de acarreo (O.I.; 22121) y señalización lumínica.",se cargaron,se cargaron,"15,00",,
si,12/5/2025,CORTE DE PASTO,RP51,"250,00","270,00",TRACTOR,O.I.,9649,DESMALEZADORA,O.I.,21803,CAMIONETA,R.O.,29792,,,,,,,,,,"20,00",,
si,12/5/2025,CAMINOS RURALES,093-08,"14,00","16,00",MOTONIVELADORA,O.I.,8653,CAMIONETA,R.O.,36895,,,,,,,,,,,,,"2,00",,
si,13/5/2025,MANTENIMIENTO DE PAVIMENTOS,RP40,"28,00","31,00",MINI CARGADORA,R.O.,21202,CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,,,,,,,"Se incluyen otros equipos para el acarreo (O.I.: 22121) y señalización lumínica.
",se cargaron,se cargaron,"3,00",,
si,13/5/2025,CAMINOS RURALES,093-08,"16,00","18,00",MOTONIVELADORA,O.I.,8653,CAMIONETA,R.O.,29792,,,,,,,,,,,,,"2,00",,
si,14/5/2025,MANTENIMIENTO DE PAVIMENTOS,RP40,"28,00","31,00",MINI CARGADORA,R.O.,21202,CAMIÓN,R.O.,41020,CAMIONETA,R.O.,52501,CAMIONETA,R.O.,31556,,,,Continuación de las tareas de fresado y bacheo iniciadas el día previo (13/05/2025).,,,"3,00",,
si,14/5/2025,SEÑALIZACIÓN Y DEMARCACIÓN (Horizontal y Vertical),RP30,"263,00","282,00",CAMIONETA,R.O.,26395,,,,,,,,,,,,,,,,"19,00",,
si,15/5/2025,SEÑALIZACIÓN Y DEMARCACIÓN (Horizontal y Vertical),RP51,"279,00","280,00",CAMIONETA,R.O.,29792,,,,,,,,,,,,,,,,"1,00",,
si,15/5/2025,SEÑALIZACIÓN Y DEMARCACIÓN (Horizontal y Vertical),RP30,"263,00","280,00",CAMIONETA,R.O.,26395,,,,,,,,,,,,,,,,"17,00",,
si,15/5/2025,CORTE DE PASTO,093-08,"2,00","4,00",CAMIONETA,R.O.,31556,PALA CARGADORA FRONTAL,O.I.,22127,CAMIÓN,R.O.,41020,,,,,,,"Desmalezado y retiro de raíces de banquinas en camino de acceso.",,,"2,00",,
