NOMEMCLATURA,PARTIDO,PARTIDO_NOMBRE,DENOMINACION,CLASE,TRANSITABIlIDAD,TIPO,TRAMO_NUM,LON_INI,LAT_INI,LON_FIN,LAT_FIN,LONGITUD_KM_ORIG,LONGITUD_KM_WGS84,N_VERTICES,N_LINEAS,DIFF_PCT,ALERTA
041-01,041,Desconocido,Tramo 1: Gral. Las Heras - 3-4 km,PAVIMENTADO,PERMANENTE,CAMINO,1,-58.946929019134245,-34.93128343009725,-58.91522664536148,-34.95374625548479,3.85,3.8361,5,1,-0.4,
041-01,041,Desconocido,Tramo 2: de prog 3-4 km - Cañuelas,DE TIERRA,TEMPORARIO,CAMINO,2,-58.91522664536148,-34.95374625548479,-58.825259489648055,-35.00567311530334,11.081,10.8591,14,1,-2.0,
041-02,041,Desconocido,RP 48 - RN 205,DE TIERRA,TEMPORARIO,CAMINO,3,-59.00062819536081,-35.00278150020494,-58.9250272996882,-35.09513465424153,15.119,15.4507,30,1,2.2,
041-03,041,Desconocido,RP 24 - SEC 041-07,DE TIERRA,TEMPORARIO,CAMINO,4,-59.10341531322206,-34.7724458466368,-58.95149901628534,-34.83119959236226,16.876,16.9375,20,1,0.4,
041-04,041,Desconocido,RP 42 - Plomer,DE TIERRA,TEMPORARIO,CAMINO,5,-59.068175264923006,-34.83399220923983,-59.02750589097844,-34.79568394714223,5.887,5.8831,6,1,-0.1,
041-05,041,Desconocido,RP 42 - E. Fyn,DE TIERRA,TEMPORARIO,CAMINO,6,-59.08595822222234,-34.82168868748469,-59.13291854636069,-34.82171349846991,5.766,5.803,6,1,0.6,
041-06,041,Desconocido,RP 42 - RP 24,DE TIERRA,TEMPORARIO,CAMINO,7,-59.11329537894239,-34.78112050858553,-59.12312226347369,-34.78918864741721,1.474,1.2731,4,1,-13.6,REVISAR
041-07,041,Desconocido,RP 42 - SEC 041-03,DE TIERRA,TEMPORARIO,CAMINO,8,-59.00967585819885,-34.87900394994589,-58.951500726127755,-34.831208633416445,7.57,7.5578,6,1,-0.2,
041-08,041,Desconocido,RP 24 - SEC 064-07,DE TIERRA,TEMPORARIO,CAMINO,9,-59.09203557311328,-34.753159781320754,-59.10795123141919,-34.74034607960843,2.021,2.0374,3,1,0.8,
041-90,041,Desconocido,"SEC 041-03 - RP6 (Prolongación Cno. 041-04) Acc. a  Plomer desde RP6 (total acc. 5,000 km",PAVIMENTADO,PERMANENTE,CAMINO,10,-59.02956336119529,-34.79459406705435,-59.016245900684034,-34.780094484045435,,2.0476,12,1,,
