NOMEMCLATURA,PARTIDO,PARTIDO_NOMBRE,DENOMINACION,CLASE,TRANSITABIlIDAD,TIPO,LONGITUD_KM_ORIG,LONGITUD_KM_WGS84,N_VERTICES,N_LINEAS,DIFF_PCT,ALERTA
091-01,091,Desconocido,Roque Perez - SEC 093-01,DE TIERRA,TEMPORARIO,CAMINO,16.244,17.3162,29,1,6.6,
091-01,091,Desconocido,SEC 062-02 - Roque Perez,DE TIERRA,TEMPORARIO,CAMINO,5.335,5.2959,14,1,-0.7,
091-02,091,Desconocido,SEC 091-01 - RP 30,DE TIERRA,TEMPORARIO,CAMINO,11.14,11.0988,19,1,-0.4,
091-03,091,Desconocido,SEC 091-04 - SEC 036-05,DE TIERRA,TEMPORARIO (TRAZA ANULADA),CAMINO,7.625,7.4332,10,1,-2.5,
091-03,091,Desconocido,RP 30 - SEC 091-04,DE TIERRA,TEMPORARIO,CAMINO,16.373,16.3627,25,1,-0.1,
091-03,091,Desconocido,SEC 091-04 - SEC 036-05,DE TIERRA,TEMPORARIO,CAMINO,7.496,7.6154,7,1,1.6,
091-04,091,Desconocido,RP 20 - RP 30,DE TIERRA,TEMPORARIO,CAMINO,19.574,18.0143,30,1,-8.0,
091-04,091,Desconocido,SEC 073-07 - RP 20,DE TIERRA,TEMPORARIO,CAMINO,4.518,4.3431,9,1,-3.9,
091-05,091,Desconocido,SEC 091-04 - SEC 091-03,DE TIERRA,TEMPORARIO,CAMINO,11.215,11.2848,16,1,0.6,
091-06,091,Desconocido,RP 30 - SEC 093-14,DE TIERRA,TEMPORARIO,CAMINO,4.746,4.7215,2,1,-0.5,
091-07,091,Desconocido,RP 30 - SEC 093-03,DE TIERRA,TEMPORARIO,CAMINO,10.811,11.1677,11,1,3.3,
091-08,091,Desconocido,RN 205 - SEC 091-01,DE TIERRA,TEMPORARIO,CAMINO,6.736,6.6629,9,1,-1.1,
091-09,091,Desconocido,RN 205 - SEC 091-10,DE TIERRA,TEMPORARIO,CAMINO,14.859,14.6599,27,1,-1.3,
091-10,091,Desconocido,RP 30 - SEC 109-06,DE TIERRA,TEMPORARIO (APERTURA PARCIAL),CAMINO,11.282,10.6649,17,1,-5.5,
091-11,091,Desconocido,RN 205 - RP 30,DE TIERRA,TEMPORARIO,CAMINO,12.335,12.3346,16,1,-0.0,
091-14,091,Desconocido,RN 205 - Roque Perez,DE TIERRA,TEMPORARIO,CAMINO,5.727,5.6994,19,1,-0.5,
