NOMEMCLATURA,PARTIDO,PARTIDO_NOMBRE,DENOMINACION,CLASE,TRANSITABIlIDAD,TIPO,LONGITUD_KM_ORIG,LONGITUD_KM_WGS84,N_VERTICES,N_LINEAS,DIFF_PCT,ALERTA
109-01,109,Desconocido,RP 61 - SEC 011-01,DE TIERRA,TEMPORARIO,CAMINO,29.751,29.8101,30,1,0.2,
109-01,109,Desconocido,25 de Mayo - Valdes,PAVIMENTADO,PERMANENTE,CAMINO,37.268,37.2877,27,1,0.1,
109-01,109,Desconocido,Valdes - RP 61,DE TIERRA,TEMPORARIO,CAMINO,9.863,10.1559,18,1,3.0,
109-02,109,Desconocido,25 de Mayo - RP 61,DE TIERRA,TEMPORARIO,CAMINO,59.6,60.4285,95,1,1.4,
109-03,109,Desconocido,SEC 075-05 - RP 40,DE TIERRA,TEMPORARIO,CAMINO,7.996,8.0296,13,1,0.4,
109-03,109,Desconocido,RP 51 - 25 de Mayo,PAVIMENTADO,PERMANENTE,CAMINO,6.976,6.9398,11,1,-0.5,
109-03,109,Desconocido,RP 40 - RP 51,DE TIERRA,TEMPORARIO,CAMINO,33.582,33.4602,44,1,-0.4,
109-04,109,Desconocido,RP 51 - SEC 093-13,DE TIERRA,TEMPORARIO,CAMINO,13.744,13.8408,19,1,0.7,
109-05,109,Desconocido,SEC 109-03 - SEC 093-12,DE TIERRA,TEMPORARIO,CAMINO,14.853,14.9374,32,1,0.6,
109-06,109,Desconocido,Norberto de la Riestra - SEC 093-10,DE TIERRA,TEMPORARIO,CAMINO,15.294,15.3331,10,1,0.3,
109-06,109,Desconocido,SEC 109-09 - RP 40,DE TIERRA,TEMPORARIO,CAMINO,21.407,21.6125,31,1,1.0,
109-07,109,Desconocido,RP 40 - SEC 062-05,DE TIERRA,TEMPORARIO,CAMINO,6.377,7.451,14,1,16.8,REVISAR
109-08,109,Desconocido,SEC 109-07 - Límite partido,DE TIERRA,TEMPORARIO,CAMINO,8.461,8.5318,10,1,0.8,
109-09,109,Desconocido,RP 51 - SEC 028-04,DE TIERRA,TEMPORARIO,CAMINO,30.201,30.295,45,1,0.3,
109-10,109,Desconocido,SEC 109-09 - Gdor Ugarte,DE TIERRA,TEMPORARIO,CAMINO,12.794,12.784,25,1,-0.1,
109-11,109,Desconocido,RP 51 - SEC 002-03,DE TIERRA,TEMPORARIO,CAMINO,5.778,5.7786,6,1,0.0,
109-12,109,Desconocido,RP 46 - SEC 002-03,DE TIERRA,TEMPORARIO,CAMINO,5.07,5.1283,11,1,1.1,
109-13,109,Desconocido,RP 40 - SEC 012-03,DE TIERRA,TEMPORARIO,CAMINO,24.183,24.2435,34,1,0.3,
109-14,109,Desconocido,Valdes - Morea,DE TIERRA,TEMPORARIO,CAMINO,13.478,13.4462,13,1,-0.2,
109-15,109,Desconocido,SEC 109-01 - SEC 034-07,DE TIERRA,TEMPORARIO,CAMINO,23.727,23.716,31,1,-0.0,
109-16,109,Desconocido,SEC 109-15 - SEC 093-10,DE TIERRA,TEMPORARIO,CAMINO,8.659,8.6804,12,1,0.2,
109-17,109,Desconocido,SEC 109-02 - SEC 109-18,DE TIERRA,TEMPORARIO,CAMINO,12.036,12.0321,14,1,-0.0,
109-18,109,Desconocido,SEC 093-10 - SEC 093-09,DE TIERRA,TEMPORARIO,CAMINO,6.24,6.1469,7,1,-1.5,
109-19,109,Desconocido,SEC 109-01 - SEC 109-21,DE TIERRA,TEMPORARIO,CAMINO,18.994,18.8116,18,1,-1.0,
109-20,109,Desconocido,SEC 077-10 - SEC 109-01,DE TIERRA,TEMPORARIO,CAMINO,15.183,15.1864,10,1,0.0,
109-20,109,Desconocido,Del Valle - SEC 011-10,DE TIERRA,TEMPORARIO,CAMINO,9.68,9.6245,17,1,-0.6,
109-21,109,Desconocido,San Enrique - SEC 011-09,DE TIERRA,TEMPORARIO,CAMINO,22.204,22.2007,7,1,-0.0,
109-22,109,Desconocido,RP 51 - SEC 109-04,DE TIERRA,TEMPORARIO,CAMINO,9.973,9.9903,22,1,0.2,
109-23,109,Desconocido,SIn denomonación (zona urbana),PAVIMENTADO,PERMANENTE,CAMINO,1.971,1.8364,3,1,-6.8,
