NOMEMCLATURA,PARTIDO,PARTIDO_NOMBRE,DENOMINACION,CLASE,TRANSITABIlIDAD,TIPO,TRAMO_NUM,LON_INI,LAT_INI,LON_FIN,LAT_FIN,LONGITUD_KM_ORIG,LONGITUD_KM_WGS84,N_VERTICES,N_LINEAS,DIFF_PCT,ALERTA
075-01,075,Navarro,RP 40 - SEC 062-07,DE TIERRA,TEMPORARIO,CAMINO,,-59.33586652841182,-35.05503893515674,-59.36072103485374,-35.15805444957444,17.709,16.9399,48,1,-4.3,
075-02,075,Navarro,SEC 075-01 - SEC 075-03,DE TIERRA,TEMPORARIO,CAMINO,,-59.38384668041792,-35.147926643461936,-59.494739219427636,-35.21005255049039,13.9,13.9368,24,1,0.3,
075-03,075,Navarro,RP 40 - SEC 062-06,DE TIERRA,TEMPORARIO,CAMINO,,-59.539427963403256,-35.16113350747418,-59.4859573605089,-35.22075376486359,8.395,8.4181,24,1,0.3,
075-04,075,Navarro,TRAZA ORIG. RP30 - RP 40,DE TIERRA,TEMPORARIO,CAMINO,,-59.662102004790164,-35.18397986152042,-59.557449929922534,-35.17578704017087,12.443,12.4231,25,1,-0.2,
075-05,075,Navarro,RP 44 - SEC 109-03,DE TIERRA,TEMPORARIO,CAMINO,,-59.63956361052382,-35.05913281771942,-59.73938972410518,-35.203901769000446,21.376,21.2917,31,1,-0.4,
075-06,075,Navarro,RP40 - SEC 102-01,DE TIERRA,TEMPORARIO,CAMINO,,-59.46059355858385,-35.11102077449217,-59.57539954019651,-34.92780961081167,24.879,24.3477,50,1,-2.1,
075-07,075,Navarro,RP 41 - SEC 109-01,DE TIERRA,TEMPORARIO,CAMINO,,-59.3427445144839,-34.86519366789237,-59.57539954019651,-34.92780961081167,24.87,24.6934,36,1,-0.7,
075-08,075,Navarro,SEC 075-07 - SEC 071-03,DE TIERRA,TEMPORARIO,CAMINO,,-59.429826979025066,-34.90998750905184,-59.45809057438238,-34.86728057907065,5.61,5.6351,10,1,0.4,
075-09,075,Navarro,ZONA URBANA. AV. CIRCUNVALACIÓN. PARTE DE RP 47,DE TIERRA,TEMPORARIO,CAMINO,,-59.277070707693476,-34.992303594868744,-59.28034636895116,-35.01070321745171,2.883,2.8562,4,1,-0.9,
