PARTIDO,PARTIDO_NOMBRE,N_SEGMENTOS,LONG_KM_ORIG,LONG_KM_WGS84,SEGMENTOS_REVISAR
93,Saladillo,28,321.54,342.78,5
0,TOTAL Zona Departamental VI Saladillo,28,321.54,342.78,5
