NOMEMCLATURA,PARTIDO,PARTIDO_NOMBRE,DENOMINACION,CLASE,TRANSITABIlIDAD,TIPO,TRAMO_NUM,LON_INI,LAT_INI,LON_FIN,LAT_FIN,LONGITUD_KM_ORIG,LONGITUD_KM_WGS84,N_VERTICES,N_LINEAS,DIFF_PCT,ALERTA
091-01,091,Roque Pérez,Roque Perez - SEC 093-01 (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,-59.3361565,-35.4085874,-59.4837997208236,-35.49222650082633,16.244,17.3162,29,1,6.6,
091-01,091,Roque Pérez,SEC 062-02 - Roque Perez (Tramo 1),DE TIERRA,TEMPORARIO,CAMINO,,-59.3287803,-35.3997974,-59.281233,-35.3727435,5.335,5.2959,14,1,-0.7,
091-02,091,Roque Pérez,SEC 091-01 - RP 30,DE TIERRA,TEMPORARIO,CAMINO,,-59.4228457,-35.4570923,-59.3478138,-35.5264264,11.14,11.0988,19,1,-0.4,
091-03,091,Roque Pérez,SEC 091-04 - SEC 036-05 (Tramo 3),DE TIERRA,TEMPORARIO (TRAZA ANULADA),CAMINO,,-59.1610227,-35.5795512,-59.1400735,-35.6250848,7.625,7.4332,10,1,-2.5,
091-03,091,Roque Pérez,RP 30 - SEC 091-04 (Tramo 1) ,DE TIERRA,TEMPORARIO,CAMINO,,-59.3227581,-35.4754604,-59.222867588583455,-35.56613000913263,16.373,16.3627,25,1,-0.1,
091-03,091,Roque Pérez,SEC 091-04 - SEC 036-05 (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,-59.2204417,-35.56413,-59.1610227,-35.5795512,7.496,7.6154,7,1,1.6,
091-04,091,Roque Pérez,RP 20 - RP 30,DE TIERRA,TEMPORARIO,CAMINO,,-59.1254816,-35.4856806,-59.2636012,-35.5996118,19.574,18.0143,30,1,-8.0,
091-04,091,Roque Pérez,SEC 073-07 - RP 20,DE TIERRA,TEMPORARIO,CAMINO,,-59.0830624,-35.4476213,-59.1144464,-35.4764416,4.518,4.3431,9,1,-3.9,
091-05,091,Roque Pérez,SEC 091-04 - SEC 091-03,DE TIERRA,TEMPORARIO,CAMINO,,-59.1282284,-35.4879629,-59.2496751,-35.5095385,11.215,11.2848,16,1,0.6,
091-06,091,Roque Pérez,RP 30 (La Reforma) - SEC 093-14,DE TIERRA,TEMPORARIO,CAMINO,,-59.22904589966874,-35.6612729377628,-59.25505474272827,-35.69815801236592,4.746,4.7215,2,1,-0.5,
091-07,091,Roque Pérez,RP 30 - SEC 093-03,DE TIERRA,TEMPORARIO,CAMINO,,-59.33088776585658,-35.581208633615475,-59.41304684148427,-35.586081534692525,10.811,11.1677,11,1,3.3,
091-08,091,Roque Pérez,RN 205 - SEC 091-01,DE TIERRA,TEMPORARIO,CAMINO,,-59.50608762913065,-35.4346961179858,-59.4504196,-35.4730439,6.736,6.6629,9,1,-1.1,
091-09,091,Roque Pérez,RN 205 - SEC 091-10,DE TIERRA,TEMPORARIO,CAMINO,,-59.57409653169501,-35.459085164194875,-59.63915825062234,-35.36026638657907,14.859,14.6599,27,1,-1.3,
091-10,091,Roque Pérez,RP 30 - SEC 109-06,DE TIERRA,TEMPORARIO (APERTURA PARCIAL),CAMINO,,-59.606576316100664,-35.3296496786061,-59.68961516059229,-35.357173730037275,11.282,10.6649,17,1,-5.5,
091-11,091,Roque Pérez,RN 205 - RP 30,DE TIERRA,TEMPORARIO,CAMINO,,-59.479678,-35.412892,-59.498302,-35.33631,12.335,12.3346,16,1,-0.0,
091-14,091,Roque Pérez,RN 205 - Roque Perez,DE TIERRA,TEMPORARIO,CAMINO,,-59.37802471526754,-35.38054321987338,-59.33432500253518,-35.395689074080146,5.727,5.7056,19,1,-0.4,
