NOMEMCLATURA,PARTIDO,PARTIDO_NOMBRE,DENOMINACION,CLASE,TRANSITABIlIDAD,TIPO,TRAMO_NUM,LON_INI,LAT_INI,LON_FIN,LAT_FIN,LONGITUD_KM_ORIG,LONGITUD_KM_WGS84,N_VERTICES,N_LINEAS,DIFF_PCT,ALERTA
058-00,058,Las Flores,RP 30 - Las Flores (Acceso Las Flores y traza de RP 61),PAVIMENTADO,PERMANENTE,CAMINO,,-59.130669862190665,-36.040104161606386,-59.10953218877077,-36.02189345275775,2.781,2.7771,2,1,-0.1,
058-01,058,Las Flores,Las Flores - 036-04 (Gral. Belgrano),DE TIERRA,TEMPORARIO,CAMINO,,-59.0990398,-36.0016639,-58.98984005798165,-35.79986993355355,28.62,28.7509,58,1,0.5,
058-02,058,Las Flores,Cnel. Boerr - RN 3,DE TIERRA,TEMPORARIO,CAMINO,,-59.0467673,-35.9045648,-58.9969876,-35.943057,6.734,6.7289,8,1,-0.1,
058-03,058,Las Flores,Rosas - Real Audiencia,DE TIERRA,TEMPORARIO,CAMINO,,-58.939084,-35.9672629,-58.7486921,-36.0506077,24.994,24.8082,51,1,-0.7,
058-04,058,Las Flores,RP 61 (Newton) - Real Audiencia,DE TIERRA,TEMPORARIO,CAMINO,,-58.7669055,-35.9305658,-58.7486835,-36.0505926,13.894,13.8485,31,1,-0.3,
058-05 ,058,Las Flores,RN 3 - Real Audiencia,DE TIERRA,TEMPORARIO,CAMINO,,-59.0671372,-36.013427,-58.8026601,-36.0736935,31.038,30.7655,56,1,-0.9,
058-06,058,Las Flores,RN 3 - RP 30,DE TIERRA,TEMPORARIO,CAMINO,,-59.3224729,-36.2406271,-59.1434823,-36.0306978,29.879,30.0662,43,1,0.6,
058-07,058,Las Flores,RN 3 - Pardo,PAVIMENTADO,PERMANENTE,CAMINO,,-59.3441907,-36.2589827,-59.362743,-36.2444224,2.272,2.3237,4,1,2.3,
058-08,058,Las Flores,058-08 (Tramo 1) - RP 61,DE TIERRA,TEMPORARIO,CAMINO,,-59.4331303,-36.0615606,-59.5345674,-35.9921346,12.098,12.0934,4,1,-0.0,
058-08,058,Las Flores,"RP 61  - 104-08 (Velloso, Tapalqué)",DE TIERRA,TEMPORARIO,CAMINO,,-59.2887268,-35.9575605,-59.4331303,-36.0615606,20.94,17.8018,21,1,-15.0,REVISAR
058-09,058,Las Flores,Estrugamou - J. Blaquier,DE TIERRA,TEMPORARIO,CAMINO,,-59.5018583,-35.9640014,-59.3301653,-35.8027213,23.803,23.8321,16,1,0.1,
058-10,058,Las Flores,RP 30 - 036-01 (Gral. Belgrano),DE TIERRA,TEMPORARIO,CAMINO,,-59.1146353,-35.7890548,-59.0679604,-35.7317848,7.873,8.0301,26,1,2.0,
058-11,058,Las Flores,Estrugamou - Saladillo,DE TIERRA,TEMPORARIO,CAMINO,,-59.5158445,-35.9761699,-59.67534781207063,-35.851608263163364,19.902,19.9573,3,1,0.3,
058-12,058,Las Flores,RN 3 - Dr. D. Harosteguy,PAVIMENTADO,TEMPORARIO,CAMINO,,-59.2446754,-36.174482,-59.27034391404342,-36.1514844790794,3.603,3.6177,11,1,0.4,
