NOMEMCLATURA,PARTIDO,PARTIDO_NOMBRE,DENOMINACION,CLASE,TRANSITABIlIDAD,TIPO,TRAMO_NUM,LON_INI,LAT_INI,LON_FIN,LAT_FIN,LONGITUD_KM_ORIG,LONGITUD_KM_WGS84,N_VERTICES,N_LINEAS,DIFF_PCT,ALERTA
109-10,109,Veinticinco de Mayo,SEC 109-09 - Gdor Ugarte,DE TIERRA,TEMPORARIO,CAMINO,,-59.98809270968907,-35.21698424254551,-60.0838625,-35.1634033,12.794,12.7736,29,1,-0.2,
109-11,109,Veinticinco de Mayo,RP 51 - SEC 002-03,DE TIERRA,TEMPORARIO,CAMINO,,-60.10701158587918,-35.257737265998216,-60.15371979685225,-35.222567019926906,5.778,5.7946,9,1,0.3,
109-12,109,Veinticinco de Mayo,RP 46 - SEC 002-03,DE TIERRA,TEMPORARIO,CAMINO,,-60.27407310078625,-35.3255956757206,-60.24524113032645,-35.288482419195624,5.07,5.1282,11,1,1.1,
109-13,109,Veinticinco de Mayo,RP 40 - SEC 012-03,DE TIERRA,TEMPORARIO,CAMINO,,-60.264131321060816,-35.43957155497979,-60.444496522630864,-35.336905793972406,24.183,24.2269,49,1,0.2,
109-14,109,Veinticinco de Mayo,Valdes - Morea,DE TIERRA,TEMPORARIO,CAMINO,,-60.473829455907534,-35.65366902133149,-60.5825459,-35.5748902,13.478,13.4335,17,1,-0.3,
109-15,109,Veinticinco de Mayo,SEC 109-01 - SEC 034-07,DE TIERRA,TEMPORARIO,CAMINO,,-60.3604666,-35.5717358,-60.1874206,-35.7242471,23.727,23.7157,34,1,-0.0,
109-16,109,Veinticinco de Mayo,SEC 109-15 - SEC 093-10,DE TIERRA,TEMPORARIO,CAMINO,,-60.1959429,-35.697758,-60.1304085,-35.675333,8.659,8.6804,12,1,0.2,
109-17,109,Veinticinco de Mayo,SEC 109-02 - SEC 109-18,DE TIERRA,TEMPORARIO,CAMINO,,-60.13046420617531,-35.635334894538296,-60.0413506,-35.6625102,12.036,12.054,21,1,0.1,
109-18,109,Veinticinco de Mayo,SEC 093-10 - SEC 093-09,DE TIERRA,TEMPORARIO,CAMINO,,-60.0325421,-35.6578988,-60.0926343,-35.682966,6.24,6.1469,7,1,-1.5,
109-19,109,Veinticinco de Mayo,SEC 109-01 - SEC 109-21,DE TIERRA,TEMPORARIO,CAMINO,,-60.6440403,-35.8244135,-60.4773671,-35.8816332,18.994,18.8118,19,1,-1.0,
109-20,109,Veinticinco de Mayo,SEC 077-10 - SEC 109-01 (Tramo 1),DE TIERRA,TEMPORARIO,CAMINO,,-60.8168448,-35.7972186,-60.7280914,-35.8925499,15.183,15.1673,16,1,-0.1,
109-20,109,Veinticinco de Mayo,Del Valle - SEC 011-10 (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,-60.7361153,-35.8995338,-60.6869927,-35.9609782,9.68,9.6245,17,1,-0.6,
109-21,109,Veinticinco de Mayo,San Enrique - SEC 011-09,DE TIERRA,TEMPORARIO,CAMINO,,-60.4076363,-35.8224559,-60.5801039,-35.9641905,22.204,22.2007,7,1,-0.0,
109-22,109,Veinticinco de Mayo,RP 51 - SEC 109-04,DE TIERRA,TEMPORARIO,CAMINO,,-60.08201834578785,-35.45715903291161,-59.9766363,-35.4718354,9.973,9.9951,27,1,0.2,
109-23,109,Veinticinco de Mayo,SIn denomonación (zona urbana),PAVIMENTADO,PERMANENTE,CAMINO,,-60.17215073568821,-35.44068059014607,-60.181646044375064,-35.43198247608103,1.971,1.8364,3,1,-6.8,
