NOMEMCLATURA,PARTIDO,PARTIDO_NOMBRE,DENOMINACION,CLASE,TRANSITABIlIDAD,TIPO,TRAMO_NUM,LON_INI,LAT_INI,LON_FIN,LAT_FIN,LONGITUD_KM_ORIG,LONGITUD_KM_WGS84,N_VERTICES,N_LINEAS,DIFF_PCT,ALERTA
109-01,109,Veinticinco de Mayo,RP 61 - SEC 011-01 (Tramo 3),DE TIERRA,TEMPORARIO,CAMINO,,-60.7599008,-35.9183253,-60.562727,-35.7395617,29.751,29.8101,30,1,0.2,
109-01,109,Veinticinco de Mayo,25 de Mayo - Valdes (Tramo 1),PAVIMENTADO,PERMANENTE,CAMINO,,-60.1798478,-35.4186796,-60.4675888,-35.6427977,37.268,37.2877,27,1,0.1,
109-01,109,Veinticinco de Mayo,Valdes - RP 61 (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,-60.4675888,-35.6427977,-60.5359888,-35.7134144,9.863,10.1376,23,1,2.8,
109-02,109,Veinticinco de Mayo,25 de Mayo - RP 61,DE TIERRA,TEMPORARIO,CAMINO,,-60.1712746,-35.4460233,-60.4076363,-35.8224559,59.6,60.4039,97,1,1.3,
109-03,109,Veinticinco de Mayo,SEC 075-05 - RP 40 (Tramo 3),DE TIERRA,TEMPORARIO,CAMINO,,-59.7645783,-35.27212,-59.7394163,-35.2039373,7.996,8.0296,13,1,0.4,
109-03,109,Veinticinco de Mayo,RP 51 - 25 de Mayo (Tramo 1),PAVIMENTADO,PERMANENTE,CAMINO,,-60.1562886,-35.4330853,-60.0844852,-35.4146245,6.976,6.9398,11,1,-0.5,
109-03,109,Veinticinco de Mayo,RP 40 - RP 51 (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,-60.0843187,-35.418297,-59.7809297,-35.2780528,33.582,33.4602,44,1,-0.4,
109-04,109,Veinticinco de Mayo,RP 51 - SEC 093-13,DE TIERRA,TEMPORARIO,CAMINO,,-60.0450828,-35.5175024,-59.9383668,-35.4939297,13.744,13.8408,19,1,0.7,
109-05,109,Veinticinco de Mayo,SEC 109-03 - SEC 093-12,DE TIERRA,TEMPORARIO,CAMINO,,-59.8891101,-35.3743117,-59.8402676,-35.4943864,14.853,14.9374,32,1,0.6,
109-06,109,Veinticinco de Mayo,Norberto de la Riestra - SEC 091-10 (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,-59.7701385,-35.2773096,-59.68961516059229,-35.357173730037275,15.294,15.302,14,1,0.1,
109-06,109,Veinticinco de Mayo,SEC 109-09 - RP 40 (Tramo 1),DE TIERRA,TEMPORARIO,CAMINO,,-59.9615863,-35.1400529,-59.80780319130909,-35.27118289636252,21.407,21.6081,38,1,0.9,
109-07,109,Veinticinco de Mayo,RP 40 - SEC 062-05 (GoogleMaps lo traza como RP40!!!),DE TIERRA,TEMPORARIO,CAMINO,,-59.6308673,-35.2665112,-59.5499575,-35.2674745,6.377,7.451,14,1,16.8,REVISAR
109-08,109,Veinticinco de Mayo,SEC 109-07 - Límite partido,DE TIERRA,TEMPORARIO,CAMINO,,-59.5571321,-35.2690885,-59.55717207556176,-35.33501223609051,8.461,8.5101,17,1,0.6,
109-09,109,Veinticinco de Mayo,RP 51 - SEC 028-04,DE TIERRA,TEMPORARIO,CAMINO,,-60.092813543197906,-35.34619386665098,-59.9562052,-35.1248453,30.201,30.2309,57,1,0.1,
