NOMEMCLATURA,PARTIDO,PARTIDO_NOMBRE,DENOMINACION,CLASE,TRANSITABIlIDAD,TIPO,TRAMO_NUM,LON_INI,LAT_INI,LON_FIN,LAT_FIN,LONGITUD_KM_ORIG,LONGITUD_KM_WGS84,N_VERTICES,N_LINEAS,DIFF_PCT,ALERTA
062-01,62,Lobos,Lobos - C. Beguerie,DE TIERRA,TEMPORARIO,CAMINO,,-59.085962129095805,-35.20994281366679,-59.07308672123003,-35.387702242446686,23.135,23.6862,50,3,2.4,
062-02,62,Lobos,RN 205 - Salvador Maria (Tramo 1),PAVIMENTADO,PERMANENTE,CAMINO,1.0,-59.17572751783274,-35.25056039319462,-59.16438819399407,-35.30064688781292,7.221,7.7063,20,1,6.7,
062-02,62,Lobos,Salvador Maria - Roque Pérez (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,2.0,-59.16438819399407,-35.30064688781292,-59.280576151303315,-35.37208122315561,13.824,13.397,27,1,-3.1,
062-03,62,Lobos,RN 205 - SEC 062-02,DE TIERRA,TEMPORARIO,CAMINO,,-59.22455170827085,-35.277874666263465,-59.16837767098001,-35.30196116007485,6.064,5.9856,15,1,-1.3,
062-04,62,Lobos,RN 205 - J. S. Arevalo,DE TIERRA,TEMPORARIO,CAMINO,,-59.153073395697156,-35.232655408976484,-59.237698113369255,-35.16756579778979,12.289,12.7417,23,1,3.7,
062-05,62,Lobos,RP 41 - SEC 109-07,DE TIERRA,TEMPORARIO,CAMINO,,-59.139454123594255,-35.16498097478782,-59.54993452726774,-35.267457282586825,39.728,39.872,48,1,0.4,
062-06,62,Lobos,Elvira - SEC 075-03,DE TIERRA,TEMPORARIO,CAMINO,,-59.48006724111608,-35.24190045075126,-59.48592792731959,-35.22071083215176,2.402,2.4137,7,1,0.5,
062-07,62,Lobos,A. Carboni - SEC 075-01 (GoogleMaps lo indica como 062-02),DE TIERRA,TEMPORARIO,CAMINO,,-59.33062972584356,-35.195915379154954,-59.36056603641223,-35.1580284030222,4.991,5.0427,6,1,1.0,
062-08,62,Lobos,A. Carboni - RN 205,DE TIERRA,TEMPORARIO,CAMINO,,-59.35227314505492,-35.20291753961105,-59.29974981302083,-35.33583381310533,16.872,16.9996,33,1,0.8,
062-09,62,Lobos,RN 205 - Zapiola,DE TIERRA,TEMPORARIO,CAMINO,,-59.00001380770198,-35.11985458039765,-59.04186527978608,-35.06767093208205,9.169,7.5887,17,1,-17.2,REVISAR
062-10,62,Lobos,RN 205 - vías FF.CC. Roca (Tramo 1),PAVIMENTADO,PERMANENTE,CAMINO,1.0,-59.063017926954274,-35.17686200104838,-59.09295592903484,-35.17735191711595,2.752,2.7338,5,1,-0.7,
062-10,62,Lobos,"Vías FF.CC Roca - RP 41 (700 m cordón cuneta, entre Av República y calle Suipacha) (Tramo 2)",MIXTO,TEMPORARIO,CAMINO,2.0,-59.09295592903484,-35.17735191711595,-59.11286547151866,-35.195588643119656,3.542,3.5955,6,1,1.5,
