PARTIDO,PARTIDO_NOMBRE,N_SEGMENTOS,LONG_KM_ORIG,LONG_KM_WGS84,SEGMENTOS_REVISAR
62,Lobos,12,141.99,141.76,1
0,TOTAL Zona Departamental VI Saladillo,12,141.99,141.76,1
